text,label
Terrible UX on the settings,Complaint
Is there a tutorial for sync?,Question
Is there a tutorial for sync?,Question
Worst update ever.,Complaint
Please add billing page.,Feature Request
The material design update is amazing.,Praise
Customer service is terrible.,Complaint
Cannot load export tool on my Windows 11.,Bug Report
Add an option to change password.,Feature Request
How do I reset my billing page?,Question
Way too many ads!,Complaint
This saves me so much time,Praise
The developers really nailed the profile page.,Praise
Is Firefox supported?,Question
The new patch is amazing.,Praise
This saves me so much time.,Praise
The developers really nailed the dark mode.,Praise
The UI is totally glitched on iPad.,Bug Report
Can someone explain how to login?,Question
i wish there was a way to sign up,Feature Request
"5 stars, incredibly useful.",Praise
Where is the sync feature located?,Question
It would be great if we could sync.,Feature Request
This app is so slow since the v2.0.,Complaint
App crashes when I click login.,Bug Report
The cancel button does absolutely nothing.,Bug Report
The checkout is broken on Chrome,Bug Report
This saves me so much time.,Praise
the export tool is broken on ipad.,Bug Report
the developers really nailed the dark mode.,Praise
Cannot load search bar on my tablet.,Bug Report
Can we get a dark mode for notifications?,Feature Request
Please integrate with billing page.,Feature Request
How do I export?,Question
Absolutely brilliant execution.,Praise
"5 stars, incredibly useful.",Praise
Cannot load dark mode on my browser.,Bug Report
Customer service is terrible.,Complaint
Would love to see dashboard implemented.,Feature Request
It's completely unusable now.,Complaint
absolutely brilliant execution.,Praise
Where is the export tool located?,Question
App crashes when I click next,Bug Report
Are you going to support Chrome soon?,Question
i'm cancelling my subscription because of notifications.,Complaint
Worst update ever.,Complaint
What does error 403 mean?,Question
how do i reset my dark mode?,Question
what does error 404 mean?,Question
How much does billing page cost?,Question
Way too many ads!,Complaint
Terrible UX on the profile page.,Complaint
Highly recommend for profile page.,Praise
Getting a SYS_32 error when trying to delete account,Bug Report
what does error null_ptr mean?,Question
"5 stars, incredibly useful.",Praise
How much does dark mode cost?,Question
way too many ads!,Complaint
Is there any plan to add export tool?,Feature Request
How do I reset my dashboard?,Question
app crashes when i click refresh.,Bug Report
this app is so slow since the last update.,Complaint
Would love to see checkout implemented,Feature Request
The billing page is broken on browser.,Bug Report
such a clean ui for view history.,Praise
We really need settings in the next update.,Feature Request
The profile page is broken on Firefox.,Bug Report
Absolutely brilliant execution.,Praise
Worst update ever.,Complaint
It would be great if we could sign up.,Feature Request
This app is so slow since the material design update.,Complaint
why does the app freeze during pay?,Bug Report
Is there a tutorial for view history?,Question
Love the new sync feature!,Praise
Is there any plan to add search bar?,Feature Request
please add sync feature.,Feature Request
Please integrate with export tool.,Feature Request
Cannot load dark mode on my Mac.,Bug Report
What does error TIMEOUT mean?,Question
We really need dashboard in the next update.,Feature Request
What does error 500 mean?,Question
absolutely brilliant execution.,Praise
The dark mode is broken on Firefox.,Bug Report
Are you going to support Windows 11 soon?,Question
Absolutely brilliant execution.,Praise
Blank screen after sign up.,Bug Report
Flawless performance on Chrome.,Praise
Stop forcing me to use billing page.,Complaint
the login button does absolutely nothing.,Bug Report
My Linux overheats when using this.,Bug Report
We really need billing page in the next update.,Feature Request
would love to see export tool implemented.,Feature Request
we really need export tool in the next update.,Feature Request
I wish there was a way to sign up.,Feature Request
Love the new billing page!,Praise
Way too many ads!,Complaint
how much does settings cost?,Question
Is Chrome supported?,Question
Getting a AUTH_FAIL error when trying to login.,Bug Report
Please integrate with profile page.,Feature Request
The UI is totally glitched on Firefox.,Bug Report
Absolutely brilliant execution.,Praise
Love the new dark mode!,Praise
Absolutely brilliant execution.,Praise
Is iPad supported?,Question
is there a tutorial for delete account?,Question
Stop forcing me to use checkout.,Complaint
Terrible UX on the profile page,Complaint
way too many ads!,Complaint
It would be great if we could delete account.,Feature Request
app crashes when i click refresh.,Bug Report
The checkout is broken on Android.,Bug Report
Such a clean UI for change password.,Praise
The iOS 17 update is amazing.,Praise
Can we get a dark mode for dark mode?,Feature Request
Stop forcing me to use notifications,Complaint
It would be great if we could change password.,Feature Request
Are you going to support Mac soon?,Question
This saves me so much time.,Praise
Can we get a dark mode for export tool?,Feature Request
How much does billing page cost?,Question
The UI is totally glitched on iPad.,Bug Report
I hate the new settings.,Complaint
Best app for change password.,Praise
The last update is amazing.,Praise
Can we get a dark mode for export tool?,Feature Request
App crashes when I click refresh.,Bug Report
"5 stars, incredibly useful.",Praise
the recent patch is amazing.,Praise
Such a clean UI for export.,Praise
The summer update is amazing.,Praise
Please integrate with dashboard.,Feature Request
How much does notifications cost?,Question
We really need dark mode in the next update.,Feature Request
This saves me so much time.,Praise
How do I change password?,Question
i wish there was a way to pay.,Feature Request
Such a clean UI for login,Praise
Customer service is terrible.,Complaint
Is there a tutorial for upload?,Question
Worst update ever.,Complaint
where is the checkout located?,Question
The developers really nailed the settings,Praise
add an option to view history,Feature Request
The summer update completely ruined the experience.,Complaint

"""Awesome, another thousand-dollar parking ticket.""",Complaint
"""Oh brilliant, another software update that deletes my files.""",Complaint
"""Great job breaking the only feature that worked.""",Complaint
"""I love it when the app crashes right before I save.""",Complaint
"""Fantastic, the server is down again.""",Complaint
"""Super, just what I needed, another paywall.""",Complaint
"""Amazing, the battery drains in 10 minutes now.""",Complaint
"""Such a wonderful experience getting locked out of my account.""",Complaint
"""Perfect, another bug to deal with.""",Complaint
"""Wow, I really appreciate the app wiping my data.""",Complaint
